"","data_set","c1_size","c2_size","c3_size","c1_intensity","c2_intensity","c3_intensity","c1_x_centroid","c2_x_centroid","c3_x_centroid","c1_y_centroid","c2_y_centroid","c3_y_centroid","tumor"
"1","train",17607,20955,5054,0.0348606893203106,0.347199086745092,0.933225478557091,95.5534162548986,93.7668336912431,93.8700039572616,108.534332935764,122.3085182534,120.167194301543,0
"2","train",16905,19751,6960,0.065577767338815,0.344218262465658,0.942520847419459,98.4108251996451,92.9333198319072,89.4469827586207,104.915113871636,123.393448432991,125.076149425287,0
"3","train",13714,23038,6864,0.0463896919421101,0.366288774386285,0.952909753645072,94.0725535948666,94.8529820296901,94.169289044289,114.704973020271,116.686474520358,119.460518648019,0
"4","train",10641,27462,5513,0.0217018524353636,0.438640917003237,0.940704146704959,90.592613476177,95.8053674167941,95.5394522038817,109.580678507659,117.936858204064,122.697986577181,0
"5","train",14514,18560,10542,0.0409230303668927,0.354880197768694,0.943974987073144,92.0203941022461,95.831088362069,95.570385126162,112.028386385559,121.714224137931,113.476380193512,0
"6","train",19185,17867,6564,0.0345179802439537,0.479996532110294,0.937049384043723,93.2915298410216,96.2425701013041,93.2888482632541,119.463434975241,111.61095875077,121.146404631322,0
"7","train",18734,17287,7595,0.0340033953156288,0.445076148119834,0.928475131988324,95.2197608626028,94.3866489269393,92.9826201448321,126.266947795452,106.376352172152,115.451086240948,0
"8","train",8644,26475,8497,0.189208881146188,0.57685200614715,0.95500788052072,101.249652938454,92.6501605288008,93.3973167000118,110.950370198982,117.721246458924,118.340473108156,0
"9","train",8887,26108,8621,0.0434858583919659,0.360180637292362,0.943382665675044,103.604253403848,91.1319135897043,95.314812666744,135.325756723304,108.25831162862,122.052662104164,0
"10","train",13988,22137,7491,0.0312444279971066,0.221437979356641,0.818706892715771,92.8748927652273,95.593802231558,94.3022293418769,120.267729482414,111.556443962597,124.07342143906,0
"11","train",12158,24493,6965,0.200007741211287,0.534025007545187,0.954617907464527,91.7693699621648,95.2498264810354,96.629720028715,113.912485606185,118.743355244356,113.127781765973,0
"12","train",16092,17906,9618,0.0603064243345764,0.272355634982648,0.920802498583158,96.6828859060403,92.7905729922931,94.0302557704304,134.447116579667,116.972914107003,85.5920149719276,0
"13","train",15656,16010,11950,0.0252760327431936,0.337395990251163,0.906016244154526,99.2001788451712,92.7843847595253,90.6406694560669,115.700881451201,120.493941286696,112.196066945607,0
"14","train",11739,24018,7859,0.0760040688905235,0.372284185553546,0.928823953553982,94.0052815401653,94.7929885918894,94.3435551596895,107.618792060653,119.931926055458,119.277516223438,0
"15","train",10667,25863,7086,0.0330666137271434,0.39669161714091,0.892031235299702,95.8162557420081,93.401500212659,96.5279424216765,131.91881503703,110.683872713916,114.5172170477,0
"16","train",12791,24191,6634,0.0228825108340567,0.430204556709944,0.938954997133041,96.9183019310453,93.42371129759,93.7619837202291,125.803533734657,113.925468149312,107.949954778414,0
"17","train",9168,25190,9258,0.0259876638264378,0.35956612100965,0.949178029388482,89.7672338568935,95.9454942437475,95.2537265068049,101.009707678883,123.414807463279,113.025275437459,0
"18","train",12960,18765,11891,0.0177151416122001,0.239005449235336,0.79758690457941,91.8018518518519,95.3482014388489,96.1021781179043,115.784567901235,120.18896882494,111.458245732066,0
"19","train",23881,15696,4039,0.0102413026682127,0.340593581979152,0.932072100937446,93.4370001256229,96.4183868501529,93.3300321861847,113.472425777815,118.778287461774,125.547165139886,0
"20","train",23459,15987,4170,0.0120804841822472,0.449742131167771,0.940915032679757,94.4331386674624,94.9783574154,93.042206235012,116.555309262969,116.907549884281,114.626378896882,0
"21","train",12580,25352,5684,0.0501574238598448,0.369474968908256,0.906171434090912,97.8423688394277,93.6963553171347,90.6870161857847,105.344197138315,119.634466708741,127.209887403237,0
"22","train",26894,12640,4082,0.0164172488360239,0.442515822784773,0.939351144671504,90.9983267643341,99.271914556962,102.794218520333,118.761619692125,111.037025316456,118.515678588927,0
"23","train",6763,25121,11732,0.0251750441415653,0.488290009686348,0.965518808955497,99.9300606239834,96.2021018271566,87.7251960450051,122.047168416383,106.463476772421,134.792874190249,0
"24","train",16423,20736,6457,0.0444629900916082,0.367003865589366,0.946312711239082,96.4812762589052,93.0857445987654,94.0024779309277,116.364123485356,115.565152391975,119.847762118631,0
"25","train",17118,19998,6500,0.0138395771908473,0.357292003710079,0.95793725490198,94.9460217315107,94.3092309230923,93.9123076923077,119.66514779764,113.016251625163,118.882615384615,0
"26","train",12511,23847,7258,0.0677696960008442,0.414599444004457,0.964954965177051,93.6348813044521,95.0964062565522,94.0316891705704,112.904404124371,115.709020002516,125.296775971342,0
"27","train",16141,20491,6984,0.0663923682353142,0.32994552366837,0.939159535521,97.9712533300291,93.0095163730418,90.8505154639175,109.693823183198,120.750866233956,119.758018327606,0
"28","train",12791,21754,9071,0.023436515564712,0.454391439392614,0.889799209288031,94.3134235008991,94.0387974625356,95.8691434240988,107.543428973497,127.736508228372,102.182339323118,0
"29","train",23428,16013,4175,0.0118515803111396,0.449390262568442,0.939516731243413,94.5850264640601,94.0073690126772,95.9123353293413,116.529195834045,116.950227939799,114.609341317365,0
"30","train",12272,25786,5558,0.115328693406937,0.477459572986033,0.938619478017931,89.8334419817471,95.804739005662,98.7504498020871,127.076597131682,111.678275032964,115.517092479309,0
